Cluster,MarketName,Samples,Estimated_Property_Size,Avg_Effective_Rent,Avg_Effective_Rent_Per_SqFt,Avg_Occupancy,Avg_Occupancy_During_Lease_Up,Avg_Concession,Lease_Up_Months,Market_Grade_Avg,SubMarket_Grade_Avg,Property_Age,PAS_normalized,RI,PTI
0,"Akron, OH",13,70190.14743589744,1084.0396578049838,1.18218578058902,0.9214367537038056,0.1074473372781065,7.506503760529163,1.3846153846153846,4.423076923076923,4.461538461538462,21.53846153846154,0.841628959276018,0.0,3.2760180995475117
0,"Austin-Round Rock, TX",269,70721.26967263686,1439.6912273396676,1.634470084205615,0.8187313117316184,0.11970708874216146,32.67568181671798,1.8066914498141264,4.200743494423792,3.657992565055762,9.572490706319703,0.8770640615544221,0.007434944237918215,2.9538514740209214
1,"Akron, OH",12,91917.5277777778,864.3676810140755,0.9388837936252709,0.9654316709466295,0.0,7.37209638732346,0.0,3.0833333333333335,3.125,34.916666666666664,0.7432598039215685,1.0,2.4194852941176475
1,"Austin-Round Rock, TX",188,82234.21551418441,995.909362371473,1.213416435089141,0.9266342537960861,0.029196964769950533,19.15131628619966,0.6117021276595744,2.859042553191489,2.859042553191489,30.97340425531915,0.6282162295893122,0.9627659574468085,2.223249628896586
2,"Akron, OH",3,29150.55555555555,1325.9495073891628,1.3997844676884708,0.20317241379310344,0.0,95.41707717569786,0.0,0.0,0.0,1.0,0.9926470588235294,0.0,0.19852941176470593
2,"Austin-Round Rock, TX",40,70986.28163690477,1504.9829873557815,1.6645068084263985,0.13112034978909975,0.0,141.2191624796772,0.0,0.0,0.0,-0.05,0.9889534883720931,0.0,0.19779069767441854
3,"Akron, OH",4,99992.6,681.1815312440766,0.8742281182717071,0.8646390844758955,0.0,9.16781249341842,0.0,2.5,2.5,49.25,0.6378676470588236,1.0,1.9775735294117651
3,"Austin-Round Rock, TX",21,81548.58866213151,1124.9677851294055,1.346007957184694,0.8481521499929071,0.11275803654795254,23.439448733927957,2.380952380952381,2.9047619047619047,3.0238095238095237,28.142857142857142,0.6611295681063123,1.0,2.301273532668882
4,"Akron, OH",67,74000.34979862592,775.0947982708861,0.8819360823731962,0.9616592581301248,0.0,7.261383207910583,0.0,2.6044776119402986,2.582089552238806,39.059701492537314,0.7127963125548727,0.007462686567164179,1.9597234416154519
4,"Austin-Round Rock, TX",351,71553.19591642925,948.4436676175033,1.171555506526033,0.9308626845593746,0.007209496676163343,14.349372247160645,0.1339031339031339,2.4301994301994303,2.4957264957264957,30.655270655270655,0.6319154574968529,0.024216524216524215,1.8496024647187437
